github_owner,github_repo,window_name,snapshot_date,status,detail
strapi,strapi,control_180d,2021-03-27 00:00:00+00:00,ok,https://strapi.io/ | 20210326141915 | age_days=0
strapi,strapi,pre_funding_42d,2021-08-12 00:00:00+00:00,ok,https://strapi.io/ | 20210811192031 | age_days=0
