name,startup_key,website_url,status,detail
RocketPy-Team,rocketpy-team,https://rocketpy.org,ok,https://rocketpy-team.github.io/
SFDigitalServices,sfdigitalservices,https://sf.gov/departments/city-administrator/digital-services,ok,https://www.sf.gov/departments/city-administrator/digital-services
RBND-studio,rbnd-studio,https://rbnd.studio,ok,https://rbnd.studio/
StudyDrift,studydrift,,no_website,
DiligentGraphics,diligentgraphics,http://diligentgraphics.com,ok,https://diligentgraphics.com/
Submitty,submitty,http://submitty.org,ok,https://submitty.org/
SigNoz,signoz,https://signoz.io,ok,https://signoz.io/
StanfordSpezi,stanfordspezi,https://spezi.stanford.edu,ok,https://spezi.stanford.edu/
TheVessels,thevessels,,no_website,
SatDump,satdump,https://satdump.org,ok,https://www.satdump.org/
TrianaLab,trianalab,,no_website,
The-Mu-Foundation,the-mu-foundation,https://www.mutorials.org,error,403 Client Error: Forbidden for url: https://mutorials.org/
Vacademy-io,vacademy-io,,no_website,
Synapsr,synapsr,https://synapsr.io,ok,https://synapsr.io/
VismaLietuva,vismalietuva,,no_website,
OpenOLAT,openolat,https://www.openolat.org,ok,https://www.openolat.com/
Velocidex,velocidex,https://www.velocidex.com,ok,https://www.velocidex.com/
WillowInc,willowinc,https://willowinc.com,ok,https://willowinc.com/
XMUDeepLIT,xmudeeplit,,no_website,
TaloDev,talodev,https://trytalo.com,ok,https://trytalo.com/
UltiMafia,ultimafia,https://www.ultimafia.com,error,"HTTPSConnectionPool(host='www.ultimafia.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.ultimafia.com'. (_ssl.c:1010)"")))"
Zipstack,zipstack,,no_website,
OCSInventory-NG,ocsinventory-ng,http://www.ocsinventory-ng.org,ok,https://ocsinventory-ng.org/?lang=fr
PhotoFlare,photoflare,http://www.photoflare.io,ok,https://photoflare.io/
aelassas,aelassas,,no_website,
ahacker-1,ahacker-1,,no_website,
Yellow-Dog-Man,yellow-dog-man,https://yellowdogman.com,ok,https://yellowdogman.com/
ZemerTeam,zemerteam,https://zemer.io,ok,https://zemer.io/
