snapshot_date,source_period,source_updated_at,name,description,sector,sector_slug,stage,geography,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type,vc_scout_score,momentum_flag,top_driver,risk_flag,github_url,website_url,profile_url
2025-07-01,q3-2025,,open-condo-software,,PropTech,proptech,Growth,LATAM,64,100,51,0,0,Framework migration,,,,,https://github.com/open-condo-software,,
2025-07-01,q3-2025,,opennem,,Climate Tech,climate-tech,Seed,APAC,3,-81,9,121,0,Engineering hiring burst,,,,,https://github.com/opennem,,
2025-07-01,q3-2025,,orbiternassp,,Space Tech,space-tech,Series A/B,Unknown,30,-14,37,0,0,Framework migration,,,,,https://github.com/orbiternassp,,
2025-07-01,q3-2025,,paperless-ngx,,AI & Machine Learning,ai-ml,Growth,Unknown,13,-57,100,0,0,Framework migration,,,,,https://github.com/paperless-ngx,,
2025-07-01,q3-2025,,particify,,EdTech,edtech,Seed,EU,15,114,16,0,0,Framework migration,,,,,https://github.com/particify,,
2025-07-01,q3-2025,,polarsource,,Enterprise SaaS,enterprise-saas,Growth,Unknown,120,1,100,0,0,Framework migration,,,,,https://github.com/polarsource,,
2025-07-01,q3-2025,,projectdiscovery,,Cybersecurity,cybersecurity,Growth,Unknown,469,31,100,0,0,Framework migration,,,,,https://github.com/projectdiscovery,,
2025-07-01,q3-2025,,roboflow,,AI & Machine Learning,ai-ml,Growth,US,221,83,90,0,2,Framework migration,,,,,https://github.com/roboflow,,
2025-07-01,q3-2025,,saleor,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,Unknown,32,-29,100,0,0,Framework migration,,,,,https://github.com/saleor,,
2025-07-01,q3-2025,,tenzir,,Cybersecurity,cybersecurity,Series A/B,EU,129,24,48,0,0,Framework migration,,,,,https://github.com/tenzir,,
2025-07-01,q3-2025,,third-culture-software,,Healthcare,healthcare,Series A/B,Unknown,44,19,27,0,1,Framework migration,,,,,https://github.com/third-culture-software,,
2025-07-01,q3-2025,,unacms,,Social & Community,social-community,Seed,Unknown,57,138,11,0,0,Framework migration,,,,,https://github.com/unacms,,
2025-07-01,q3-2025,,vuestorefront,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,Unknown,1,999,100,0,0,Deploy frequency spike,,,,,https://github.com/vuestorefront,,
