snapshot_date,source_period,source_updated_at,name,description,sector,sector_slug,stage,geography,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type,vc_scout_score,momentum_flag,top_driver,risk_flag,github_url,website_url,profile_url
2026-04-01,q2-2026,,OpenCTI-Platform,,Cybersecurity,cybersecurity,Growth,US,73,-31,100,0,0,Framework migration,,,,,https://github.com/OpenCTI-Platform,,
2026-04-01,q2-2026,,OpenOLAT,,EdTech,edtech,Seed,EU,102,-33,15,25,0,Framework migration,,,,,https://github.com/OpenOLAT,,
2026-04-01,q2-2026,,ParabolInc,,Enterprise SaaS,enterprise-saas,Growth,US,21,-56,78,0,1,Framework migration,,,,,https://github.com/ParabolInc,,
2026-04-01,q2-2026,,PostHog,,Data Infrastructure,data-infrastructure,Growth,US,231,-11,100,0,3,Infrastructure buildout,,,,,https://github.com/PostHog,,
2026-04-01,q2-2026,,VictoriaMetrics,,Data Infrastructure,data-infrastructure,Growth,US,71,4,100,0,0,Framework migration,,,,,https://github.com/VictoriaMetrics,,
2026-04-01,q2-2026,,airbytehq,,Data Infrastructure,data-infrastructure,Growth,US,164,-77,100,0,0,Framework migration,,,,,https://github.com/airbytehq,,
2026-04-01,q2-2026,,akto-api-security,,Cybersecurity,cybersecurity,Growth,US,267,75,53,0,1,Framework migration,,,,,https://github.com/akto-api-security,,
2026-04-01,q2-2026,,andes,,Healthcare,healthcare,Series A/B,Unknown,8,-47,44,19,0,Framework migration,,,,,https://github.com/andes,,
2026-04-01,q2-2026,,atrocore,,Enterprise SaaS,enterprise-saas,Seed,EU,70,-32,18,0,0,Framework migration,,,,,https://github.com/atrocore,,
2026-04-01,q2-2026,,bagisto,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,APAC,39,39,100,0,0,Framework migration,,,,,https://github.com/bagisto,,
2026-04-01,q2-2026,,bakaphp,,Social & Community,social-community,Seed,LATAM,598,32,14,8,1,Framework migration,,,,,https://github.com/bakaphp,,
2026-04-01,q2-2026,,betagouv,,AgTech,agtech,Growth,EU,16,-24,100,32,1,Framework migration,,,,,https://github.com/betagouv,,
2026-04-01,q2-2026,,castle-engine,,Gaming,gaming,Series A/B,Unknown,40,344,24,0,0,Deploy frequency spike,,,,,https://github.com/castle-engine,,
2026-04-01,q2-2026,,cilium,,Cybersecurity,cybersecurity,Growth,Unknown,70,-59,100,0,1,Framework migration,,,,,https://github.com/cilium,,
2026-04-01,q2-2026,,dagster-io,,Data Infrastructure,data-infrastructure,Growth,US,120,-4,100,19,1,Framework migration,,,,,https://github.com/dagster-io,,
2026-04-01,q2-2026,,dbt-labs,,Data Infrastructure,data-infrastructure,Growth,Unknown,362,-21,100,0,2,Framework migration,,,,,https://github.com/dbt-labs,,
2026-04-01,q2-2026,,debezium,,Data Infrastructure,data-infrastructure,Growth,Unknown,61,-55,100,35,0,Framework migration,,,,,https://github.com/debezium,,
2026-04-01,q2-2026,,ever-co,,HR Tech,hr-tech,Growth,US,13,-50,79,0,1,Framework migration,,,,,https://github.com/ever-co,,
2026-04-01,q2-2026,,fleetdm,,Cybersecurity,cybersecurity,Growth,Unknown,347,-26,100,0,0,Framework migration,,,,,https://github.com/fleetdm,,
2026-04-01,q2-2026,,gravitational,,Cybersecurity,cybersecurity,Growth,US,169,-12,100,8,0,Framework migration,,,,,https://github.com/gravitational,,
2026-04-01,q2-2026,,hapifhir,,Healthcare,healthcare,Growth,Unknown,22,-56,100,79,0,Engineering hiring burst,,,,,https://github.com/hapifhir,,
2026-04-01,q2-2026,,harvard-edge,,AI & Machine Learning,ai-ml,Growth,Unknown,337,-30,95,13,1,Framework migration,,,,,https://github.com/harvard-edge,,
2026-04-01,q2-2026,,horizontalsystems,,Web3,web3,Series A/B,Unknown,13,-72,22,0,1,Framework migration,,,,,https://github.com/horizontalsystems,,
2026-04-01,q2-2026,,hpi-schul-cloud,,EdTech,edtech,Growth,EU,3,-75,100,0,2,Framework migration,,,,,https://github.com/hpi-schul-cloud,,
2026-04-01,q2-2026,,ihmcrobotics,,Robotics,robotics,Growth,Unknown,23,44,79,6,0,Framework migration,,,,,https://github.com/ihmcrobotics,,
2026-04-01,q2-2026,,langchain-ai,,Enterprise SaaS,enterprise-saas,Growth,US,105,-5,100,20,1,Framework migration,,,,,https://github.com/langchain-ai,,
2026-04-01,q2-2026,,masslight,,Healthcare,healthcare,Series A/B,Unknown,110,-71,24,0,0,Framework migration,,,,,https://github.com/masslight,,
2026-04-01,q2-2026,,mdn,,EdTech,edtech,Growth,Unknown,225,-55,100,0,0,Framework migration,,,,,https://github.com/mdn,,
2026-04-01,q2-2026,,naev,,Space Tech,space-tech,Growth,Unknown,71,-58,100,0,0,Framework migration,,,,,https://github.com/naev,,
2026-04-01,q2-2026,,nco,,Climate Tech,climate-tech,Series A/B,Unknown,20,-29,24,205,0,Engineering hiring burst,,,,,https://github.com/nco,,
2026-04-01,q2-2026,,nextcloud,,Social & Community,social-community,Growth,Unknown,57,-39,100,0,0,Framework migration,,,,,https://github.com/nextcloud,,
2026-04-01,q2-2026,,nocobase,,Developer Tools,developer-tools,Growth,Unknown,54,-25,98,0,1,Framework migration,,,,,https://github.com/nocobase,,
2026-04-01,q2-2026,,odpi,,Data Infrastructure,data-infrastructure,Growth,Unknown,8,-64,62,0,0,Framework migration,,,,,https://github.com/odpi,,
2026-04-01,q2-2026,,ohrrpgce,,Gaming,gaming,Pre-seed,Unknown,1,-94,3,240,0,Engineering hiring burst,,,,,https://github.com/ohrrpgce,,
2026-04-01,q2-2026,,open-condo-software,,PropTech,proptech,Growth,LATAM,46,-6,51,0,0,Framework migration,,,,,https://github.com/open-condo-software,,
2026-04-01,q2-2026,,opennem,,Climate Tech,climate-tech,Seed,APAC,29,-79,9,121,0,Engineering hiring burst,,,,,https://github.com/opennem,,
2026-04-01,q2-2026,,orbiternassp,,Space Tech,space-tech,Series A/B,Unknown,30,329,37,0,0,Deploy frequency spike,,,,,https://github.com/orbiternassp,,
2026-04-01,q2-2026,,paperless-ngx,,AI & Machine Learning,ai-ml,Growth,Unknown,54,-10,100,0,0,Framework migration,,,,,https://github.com/paperless-ngx,,
2026-04-01,q2-2026,,particify,,EdTech,edtech,Seed,EU,7,-12,16,0,0,Framework migration,,,,,https://github.com/particify,,
2026-04-01,q2-2026,,polarsource,,Enterprise SaaS,enterprise-saas,Growth,Unknown,291,-14,100,0,0,Framework migration,,,,,https://github.com/polarsource,,
2026-04-01,q2-2026,,projectdiscovery,,Cybersecurity,cybersecurity,Growth,Unknown,529,17,100,0,0,Framework migration,,,,,https://github.com/projectdiscovery,,
2026-04-01,q2-2026,,roboflow,,AI & Machine Learning,ai-ml,Growth,US,24,-60,90,0,2,Framework migration,,,,,https://github.com/roboflow,,
2026-04-01,q2-2026,,saleor,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,Unknown,19,6,100,0,0,Framework migration,,,,,https://github.com/saleor,,
2026-04-01,q2-2026,,tenzir,,Cybersecurity,cybersecurity,Series A/B,EU,75,-56,48,0,0,Framework migration,,,,,https://github.com/tenzir,,
2026-04-01,q2-2026,,third-culture-software,,Healthcare,healthcare,Series A/B,Unknown,13,30,27,0,1,Framework migration,,,,,https://github.com/third-culture-software,,
2026-04-01,q2-2026,,unacms,,Social & Community,social-community,Seed,Unknown,34,-26,11,0,0,Framework migration,,,,,https://github.com/unacms,,
2026-04-01,q2-2026,,wazuh,,Legal Tech,legal-tech,Growth,US,215,-6,100,7,1,Framework migration,,,,,https://github.com/wazuh,,
2026-04-01,q2-2026,,zapplyjobs,,HR Tech,hr-tech,Seed,US,1158,-53,8,220,0,Engineering hiring burst,,,,,https://github.com/zapplyjobs,,
