company,github_owner,github_repo,event_date,snapshot_date,window_name,raised_funding_within_90d,website_url,archive_timestamp,archive_original,archive_age_days,pricing_signal,customer_evidence_signal,enterprise_signal,careers_signal,security_signal,integrations_signal,developer_docs_signal,self_serve_signal,sales_motion_signal,commercial_signal_count,commercial_momentum_score,page_word_count,page_link_count
strapi,strapi,strapi,2021-09-23 00:00:00+00:00,2021-03-27 00:00:00+00:00,control_180d,0,https://strapi.io/,20210326141915,https://strapi.io/,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,41.0,1189.0,192.0
strapi,strapi,strapi,2021-09-23 00:00:00+00:00,2021-08-12 00:00:00+00:00,pre_funding_42d,1,https://strapi.io/,20210811192031,https://strapi.io/,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,51.0,1423.0,159.0
