name,startup_key,website_url,resolved_url,commercial_fetched_at,http_status,pricing_signal,customer_evidence_signal,enterprise_signal,careers_signal,security_signal,integrations_signal,developer_docs_signal,self_serve_signal,sales_motion_signal,commercial_signal_count,commercial_momentum_score,page_word_count,page_link_count,commercial_maturity_score,previous_commercial_maturity_score,previous_commercial_fetched_at,commercial_maturity_change
FoodOntology,foodontology,http://foodon.org,https://foodon.org/,2026-08-17T06:52:18.412842+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1553.0,106.0,0.0,0.0,2026-08-10T07:38:18.614480+00:00,0.0
IEEE-VIT,ieee-vit,https://ieeevit.org,https://ieeevit.org/,2026-08-17T06:52:18.489691+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2026-08-10T07:38:18.581507+00:00,0.0
HeliosSoftware,heliossoftware,https://heliossoftware.com,https://heliossoftware.com/,2026-08-17T06:52:18.528030+00:00,200,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,35.0,820.0,46.0,35.0,35.0,2026-08-10T07:38:18.482236+00:00,0.0
Grashjs,grashjs,https://atlas-cmms.com,https://atlas-cmms.com/,2026-08-17T06:52:18.569182+00:00,200,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,50.0,1341.0,46.0,50.0,50.0,2026-08-10T07:38:18.461607+00:00,0.0
DoliCloud,dolicloud,https://www.dolicloud.com,https://www.dolicloud.com/,2026-08-17T06:52:18.589059+00:00,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,24.0,643.0,53.0,24.0,24.0,2026-08-10T07:38:18.651824+00:00,0.0
LacledesLAN,lacledeslan,https://lacledeslan.com,https://lacledeslan.com/,2026-08-17T06:52:18.717330+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,25.0,0.0,0.0,2026-08-10T07:38:18.694647+00:00,0.0
L5lua,l5lua,https://l5lua.org,https://l5lua.org/,2026-08-17T06:52:18.741891+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,21.0,0.0,0.0,2026-08-10T07:38:18.762062+00:00,0.0
HopHubProject,hophubproject,https://hophub.xyz,https://hophub.xyz/,2026-08-17T06:52:18.887437+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,19.0,0.0,0.0,2026-08-10T07:38:18.848023+00:00,0.0
Lifecycle-Innovations-Limited,lifecycle-innovations-limited,https://www.healify.ai,https://www.healify.ai/,2026-08-17T06:52:18.890172+00:00,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1029.0,52.0,18.0,18.0,2026-08-10T07:38:19.108078+00:00,0.0
HCW-home,hcw-home,https://hcw-at-home.com,https://hcw-at-home.com/,2026-08-17T06:52:18.902821+00:00,200,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,29.0,684.0,40.0,29.0,29.0,2026-08-10T07:38:18.915958+00:00,0.0
